url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/majesty-leather-sneakers/312617?swatch=02,Puma,Majesty Leather Sneakers," ? 5,599.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/blktop-rider-suede-sneakers/392725?swatch=19,Puma,Blktop Rider Suede Sneakers," ? 5,849.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/mostro-sneakers/403812?swatch=04,Puma,Mostro Sneakers," ? 8,249.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/softride-carson-hands-free-sliptech-walking-shoes/311724?swatch=08,Puma,Softride Carson Hands-free Sliptech Walking Shoes," ? 3,779.00 "," ? 5,999.00 "
https://in.puma.com/in/en/pd/v-s2-goalgetter-sneakers/403282?swatch=01,Puma,V-S2 Goalgetter Sneakers," ? 8,999.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/electrify-nitro-3-knit-womens-running-shoes/379085?swatch=02,Puma,Electrify NITRO™ 3 Knit Women's Running Shoes," ? 7,499.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/softride-symmetry-fuzion-running-shoes/311890?swatch=02,Puma,Softride Symmetry Fuzion Running Shoes,," ? 5,999.00 "
https://in.puma.com/in/en/pd/royalcat-softride-thong-strap-womens-flip-flops/396472?swatch=02,Puma,Royalcat Softride Thong-Strap Women's Flip Flops,," ? 2,499.00 "
https://in.puma.com/in/en/pd/easy-rider-vintage-everyday-comfort-sneakers/399028?swatch=35,Puma,Easy Rider Vintage Everyday Comfort Sneakers," ? 6,399.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/rs-x-geek-advanced-cushioning-sneakers/402203?swatch=02,Puma,RS-X Geek Advanced Cushioning Sneakers," ? 8,799.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/foreverrun-nitro-2-womens-running-shoes/310471?swatch=15,Puma,ForeverRun NITRO™ 2 Women's Running Shoes,," ? 14,999.00 "
https://in.puma.com/in/en/pd/x-cell-nova-fs-running-shoes/310936?swatch=01,Puma,X-Cell Nova FS Running Shoes," ? 5,249.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/truffle-sneakers/387403?swatch=04,Puma,Truffle Sneakers," ? 2,924.00 "," ? 4,499.00 "
https://in.puma.com/in/en/pd/speedcat-full-leather-sneakers/405449?swatch=01,Puma,Speedcat Full Leather Sneakers," ? 6,749.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/flymo-injex-flip-flops/399101?swatch=02,Puma,Flymo Injex Flip-Flops,," ? 1,399.00 "
https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=04,Puma,Court Shatter Low Sneakers," ? 3,599.00 "," ? 5,999.00 "
https://in.puma.com/in/en/pd/mostro-og-prime-sneakers/403206?swatch=04,Puma,Mostro OG Prime Sneakers," ? 7,499.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/puma-x-lamelo-ball-mb-05-crowd-surf-basketball-shoes/312132?swatch=01,Puma,PUMA x LAMELO BALL MB.05 Crowd Surf Basketball Shoes,," ? 13,999.00 "
https://in.puma.com/in/en/pd/future-7-ultimate-fg-ag-football-boots/107916?swatch=03,Puma,FUTURE 7 ULTIMATE FG/AG Football Boots," ? 11,399.00 "," ? 19,999.00 "
https://in.puma.com/in/en/pd/electrify-nitro-3-womens-running-shoes/378456?swatch=16,Puma,Electrify NITRO™ 3 Women's Running Shoes," ? 8,099.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/blktop-rider-neo-vintage-sneakers/393151?swatch=03,Puma,Blktop Rider Neo Vintage Sneakers," ? 4,949.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/puma-x-ray-slimmic-womens-sneakers/391861?swatch=02,Puma,Puma X-Ray Slimmic Women's Sneakers," ? 3,999.00 "," ? 4,999.00 "
https://in.puma.com/in/en/pd/foreverrun-nitro-2-womens-running-shoes/310471?swatch=16,Puma,ForeverRun NITRO™ 2 Women's Running Shoes,," ? 14,999.00 "
https://in.puma.com/in/en/pd/palermo-vintage-sneakers/396841?swatch=05,Puma,Palermo Vintage Sneakers,," ? 6,999.00 "
https://in.puma.com/in/en/pd/stewie-4-harry-potter-womens-basketball-shoes/312373?swatch=01,Puma,Stewie 4 Harry Potter™ Women's Basketball Shoes," ? 8,249.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/arizona-euro-womens-mesh-suede-sneakers/403782?swatch=02,Puma,Arizona EURO Women's Mesh Suede Sneakers," ? 6,299.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=03,Puma,Badminton Smash Sprint Indoor Sports Shoes," ? 2,749.00 "," ? 4,999.00 "
https://in.puma.com/in/en/pd/flyer-runner-engineered-knit-womens-shoes/379994?swatch=02,Puma,Flyer Runner Engineered Knit Women's Shoes," ? 2,859.00 "," ? 5,499.00 "
https://in.puma.com/in/en/pd/conduct-pro-womens-running-shoes/312087?swatch=05,Puma,Conduct Pro Women’s Running Shoes," ? 7,649.00 "," ? 8,499.00 "
https://in.puma.com/in/en/pd/puma-army-trainer-all-day-comfort-sneakers/402701?swatch=01,Puma,PUMA Army Trainer All-Day Comfort Sneakers," ? 5,999.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/royalcat-comfort-softride-daze-womens-slides/397159?swatch=01,Puma,Royalcat Comfort Softride Daze Women's Slides,," ? 2,999.00 "
https://in.puma.com/in/en/pd/deviate-nitro-2-womens-running-shoes/376855?swatch=17,Puma,Deviate NITRO™ 2 Women's Running Shoes," ? 11,999.00 "," ? 15,999.00 "
https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=03,Puma,Softride Pro 24 V Slides,," ? 3,799.00 "
https://in.puma.com/in/en/pd/smash-tex-womens-sneakers/392764?swatch=01,Puma,Smash Tex Women's Sneakers," ? 3,599.00 "," ? 4,499.00 "
https://in.puma.com/in/en/pd/ultra-5-ultimate-fg-football-boots/107683?swatch=02,Puma,ULTRA 5 ULTIMATE FG Football Boots," ? 15,999.00 "," ? 19,999.00 "
https://in.puma.com/in/en/pd/inhale-mens-sneakers/401560?swatch=21,Puma,Inhale Men's Sneakers," ? 8,249.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/palermo-moda-womens-leather-sneakers/397738?swatch=02,Puma,Palermo Moda Women's Leather Sneakers,," ? 6,999.00 "
https://in.puma.com/in/en/pd/rs-x-toys-sneakers/369449?swatch=23,Puma,RS-X Toys Sneakers," ? 5,199.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/royalcat-softride-lumina-womens-flip-flops/399420?swatch=02,Puma,Royalcat Softride Lumina Women's Flip-Flops," ? 2,069.00 "," ? 2,299.00 "
https://in.puma.com/in/en/pd/mostro-og-prime-sneakers/403206?swatch=02,Puma,Mostro OG Prime Sneakers," ? 7,499.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/suede-moccasin-casual-sneakers/401035?swatch=02,Puma,Suede Moccasin Casual Sneakers,," ? 10,999.00 "
https://in.puma.com/in/en/pd/accelerate-pro-4-multi-traction-indoor-badminton-shoes/108442?swatch=01,Puma,Accelerate Pro 4 Multi-Traction Indoor Badminton Shoes,," ? 8,999.00 "
https://in.puma.com/in/en/pd/softride-premier-ombre-running-shoes/311848?swatch=01,Puma,Softride Premier Ombre Running Shoes," ? 5,599.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/king-indoor-sneakers/401683?swatch=01,Puma,King Indoor Sneakers," ? 8,249.00 "," ? 10,999.00 "
